Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
352 ALEXANDER AVE,13080188100,TS-Two Storey,2020,10,"$196,000","$201,300"
368 ALEXANDER AVE,13099071040,OS-One Storey,2019,11,"$220,000","$235,000"
370 ALEXANDER AVE,13099071035,OS-One Storey,2019,11,"$220,000","$235,000"
440 ALEXANDER AVE,13080271000,OH-One & 1/2 Storey,2020,1,"$121,000","$129,100"
442 ALEXANDER AVE,13080282000,TS-Two Storey,2021,2,"$140,000","$140,700"
444 ALEXANDER AVE,13080282500,TS-Two Storey,2019,11,"$128,000","$136,700"
449 ALEXANDER AVE,13099071765,BL-Bi-Level,2020,8,"$241,279","$250,400"
451 ALEXANDER AVE,13099071760,BL-Bi-Level,2020,9,"$233,333","$240,800"
453 ALEXANDER AVE,13099071755,BL-Bi-Level,2020,6,"$228,000","$239,200"
528 ALEXANDER AVE,13080421000,O3-One & 3/4 Storey,2020,4,"$120,000","$127,200"
538 ALEXANDER AVE,13080417000,TS-Two Storey,2021,1,"$195,000","$197,100"
554 ALEXANDER AVE,13080413500,TS-Two Storey,2021,3,"$105,000","$105,000"
567 ALEXANDER AVE,13082132000,OS-One Storey,2020,11,"$76,000","$77,600"
376 ELGIN AVE,13070132000,O3-One & 3/4 Storey,2019,4,"$150,000","$160,700"
378 ELGIN AVE,13070133000,OS-One Storey,2019,4,"$85,000","$91,000"
389 ELGIN AVE,13071865000,O3-One & 3/4 Storey,2019,6,"$130,000","$139,100"
426 ELGIN AVE,13070170000,O3-One & 3/4 Storey,2020,12,"$180,000","$182,900"
434A ELGIN AVE,13096173200,TS-Two Storey,2019,12,"$269,500","$287,600"
456 ELGIN AVE,13070194100,O3-One & 3/4 Storey,2021,3,"$108,000","$108,000"
549 ELGIN AVE,13072077000,TH-Two & 1/2 Storey,2019,4,"$180,000","$192,800"
559 ELGIN AVE,13072073000,O3-One & 3/4 Storey,2020,12,"$124,000","$126,000"
577 ELGIN AVE,13072067000,TH-Two & 1/2 Storey,2020,11,"$215,000","$219,500"
598 ELGIN AVE,13070263000,O3-One & 3/4 Storey,2020,9,"$127,000","$131,100"
635 ELGIN AVE,13072047000,OH-One & 1/2 Storey,2021,2,"$71,000","$71,400"
258 FOUNTAIN ST,13081744000,O3-One & 3/4 Storey,2020,6,"$136,250","$142,900"
383 PACIFIC AVE,13080210000,OS-One Storey,2019,9,"$100,000","$106,900"
407 PACIFIC AVE,13080238000,O3-One & 3/4 Storey,2019,4,"$169,000","$181,000"
419 PACIFIC AVE,13080251000,OS-One Storey,2020,1,"$63,000","$67,200"
378 ROSS AVE,13071849000,O3-One & 3/4 Storey,2021,3,"$147,500","$147,500"
463 WILLIAM AVE,13070210000,TH-Two & 1/2 Storey,2019,12,"$255,000","$272,100"
465 WILLIAM AVE,13070211000,O3-One & 3/4 Storey,2020,1,"$115,000","$122,700"
599 WILLIAM AVE,13070304000,TH-Two & 1/2 Storey,2021,3,"$215,000","$215,000"
613 WILLIAM AVE,13070309000,TS-Two Storey,2019,6,"$110,000","$117,700"
106 BALMORAL ST,12091421000,TS-Two Storey,2019,11,"$325,000","$347,100"
205 BALMORAL ST,12091194000,TH-Two & 1/2 Storey,2020,7,"$150,000","$156,500"
230 BALMORAL ST,12091255000,TS-Two Storey,2019,2,"$213,000","$228,500"
45 FURBY ST,12090669000,TH-Two & 1/2 Storey,2021,3,"$365,000","$365,000"
70 FURBY ST,12090654000,TH-Two & 1/2 Storey,2019,10,"$400,000","$427,200"
135 FURBY ST,12090696200,TS-Two Storey,2020,7,"$350,000","$365,100"
74 LANGSIDE ST,12090780000,TH-Two & 1/2 Storey,2020,9,"$230,000","$237,400"
84 LANGSIDE ST,12090783000,TH-Two & 1/2 Storey,2019,6,"$250,000","$267,500"
