Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
51 ALLAN ST,14091801500,TS-Two Storey,2020,11,"$153,000","$158,500"
53 ALLAN ST,14091801900,TS-Two Storey,2020,11,"$145,000","$150,200"
225 BOWMAN AVE,2000170000,OS-One Storey,2019,9,"$162,500","$181,200"
227 BOWMAN AVE,2000171000,OS-One Storey,2020,2,"$155,000","$172,500"
229 BOWMAN AVE,2000172000,BL-Bi-Level,2020,7,"$275,194","$295,600"
255 BOWMAN AVE,2000181000,OS-One Storey,2019,9,"$85,000","$94,800"
264 BOWMAN AVE,2000239000,OH-One & 1/2 Storey,2020,6,"$175,000","$189,500"
264 BOWMAN AVE,2000239000,OH-One & 1/2 Storey,2020,6,"$163,000","$176,500"
270 BOWMAN AVE,2000237000,OH-One & 1/2 Storey,2019,10,"$235,000","$262,000"
337 BOWMAN AVE,2000205000,OS-One Storey,2019,1,"$133,000","$148,800"
344 BOWMAN AVE,2000214000,OH-One & 1/2 Storey,2019,1,"$155,000","$173,400"
362 BOWMAN AVE,2000299000,OS-One Storey,2019,8,"$126,000","$140,500"
369 BOWMAN AVE,2000276000,OS-One Storey,2019,12,"$125,000","$139,300"
372 BOWMAN AVE,2000295000,OH-One & 1/2 Storey,2020,11,"$150,000","$155,400"
396 BOWMAN AVE,2000288000,OH-One & 1/2 Storey,2020,11,"$205,000","$212,400"
422 BOWMAN AVE,2040204000,BL-Bi-Level,2020,9,"$240,990","$254,200"
455 BOWMAN AVE,2040153000,OH-One & 1/2 Storey,2020,5,"$240,000","$262,300"
482 BOWMAN AVE,2040185000,OS-One Storey,2019,7,"$119,000","$132,800"
484 BOWMAN AVE,2040184000,OS-One Storey,2019,3,"$160,000","$178,900"
507 BOWMAN AVE,2040171000,OS-One Storey,2021,3,"$189,900","$189,900"
532 BOWMAN AVE,2040243000,OS-One Storey,2019,8,"$225,000","$250,900"
540 BOWMAN AVE,2040241000,OS-One Storey,2020,7,"$268,500","$288,400"
