Condominium Number,Property Address,Roll Number,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
86,9 ABERCORN GROVE,1004817800,2020,4,"$218,000","$221,100"
86,11 ABERCORN GROVE,1004818000,2019,10,"$188,000","$191,900"
86,21 ABERCORN GROVE,1004819000,2020,9,"$180,000","$181,300"
86,22 ABERCORN GROVE,1004819100,2020,12,"$169,900","$170,600"
580,402 - 85 ACADEMY RD,12097694700,2020,4,"$782,500","$782,500"
29,12 - 595 ADSUM DR,5005364800,2020,10,"$195,000","$196,200"
29,14 - 595 ADSUM DR,5005365000,2019,12,"$189,000","$192,600"
29,17 - 595 ADSUM DR,5005365300,2020,3,"$160,000","$162,400"
29,23 - 595 ADSUM DR,5005365900,2020,12,"$165,000","$165,700"
29,28 - 595 ADSUM DR,5005366400,2019,2,"$189,900","$195,800"
29,34 - 595 ADSUM DR,5005367000,2020,7,"$174,000","$175,700"
29,40 - 595 ADSUM DR,5005367600,2020,8,"$185,000","$186,700"
610,103 - 835 ADSUM DR,14100034000,2019,1,"$219,900","$219,900"
610,107 - 835 ADSUM DR,14100033800,2020,12,"$202,500","$202,500"
610,109 - 835 ADSUM DR,14100033700,2020,8,"$225,000","$225,000"
610,110 - 835 ADSUM DR,14100033600,2021,3,"$227,000","$227,000"
610,115 - 835 ADSUM DR,14100034300,2019,9,"$203,000","$203,000"
610,204 - 835 ADSUM DR,14100035000,2021,3,"$210,000","$210,000"
610,208 - 835 ADSUM DR,14100035200,2020,10,"$199,000","$199,000"
610,213 - 835 ADSUM DR,14100036000,2019,11,"$197,500","$197,500"
610,307 - 835 ADSUM DR,14100037300,2019,6,"$205,000","$205,000"
610,401 - 835 ADSUM DR,14100039400,2020,6,"$253,500","$253,500"
610,411 - 835 ADSUM DR,14100039500,2019,6,"$207,000","$207,000"
531,101 - 1000 ALDGATE RD,8021084500,2019,6,"$285,000","$292,400"
531,103 - 1000 ALDGATE RD,8021084700,2019,9,"$231,500","$236,600"
531,104 - 1000 ALDGATE RD,8021084800,2019,11,"$247,000","$251,900"
531,201 - 1000 ALDGATE RD,8021086300,2019,5,"$290,000","$297,800"
531,209 - 1000 ALDGATE RD,8021087100,2019,5,"$297,000","$305,000"
531,404 - 1000 ALDGATE RD,8021083100,2020,12,"$277,000","$278,100"
531,605 - 1000 ALDGATE RD,8021082200,2020,5,"$262,000","$265,100"
