Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
243 ALCREST DR,1005879000,CO-Cabover,2020,4,"$524,900","$561,100"
3616 BATCHELOR AVE,1001448500,OS-One Storey,2019,11,"$280,000","$302,400"
3807 BATCHELOR AVE,1001685000,OS-One Storey,2020,9,"$320,000","$331,800"
3816 BATCHELOR AVE,1001693400,OS-One Storey,2019,8,"$237,000","$256,700"
3822 BATCHELOR AVE,1001666000,OS-One Storey,2021,2,"$265,000","$266,600"
23 BLOOMER CRES,1001250000,TS-Two Storey,2019,11,"$420,000","$453,600"
62 BLOOMER CRES,1001255000,TS-Two Storey,2019,6,"$545,000","$591,300"
66 BLOOMER CRES,1001254800,OS-One Storey,2019,9,"$370,000","$400,300"
179 BLOOMER CRES,1005877100,OS-One Storey,2019,5,"$390,000","$423,500"
205 BLOOMER CRES,1005906800,CO-Cabover,2020,5,"$497,750","$529,100"
240 BLOOMER CRES,1001252900,OS-One Storey,2020,5,"$521,500","$554,400"
245 BLOOMER CRES,1005870800,TS-Two Storey,2019,7,"$494,000","$535,500"
256 BLOOMER CRES,1001252100,OS-One Storey,2020,7,"$505,000","$530,300"
58 BRAMBLE DR,1001914400,TS-Two Storey,2020,8,"$538,100","$561,800"
63 BRAMBLE DR,1001920200,TS-Two Storey,2021,1,"$517,500","$523,700"
71 BRAMBLE DR,1001920600,TS-Two Storey,2020,7,"$540,000","$567,000"
87 BRAMBLE DR,1001915800,TS-Two Storey,2019,7,"$484,000","$524,700"
115 BRAMBLE DR,1001917200,TS-Two Storey,2020,9,"$585,000","$606,600"
229 CATHCART ST,1000771400,OS-One Storey,2019,9,"$309,900","$335,300"
246 CATHCART ST,1001037500,OS-One Storey,2021,2,"$331,500","$333,500"
312 CATHCART ST,1001024000,OS-One Storey,2020,10,"$410,000","$422,700"
345 CATHCART ST,1000728100,OS-One Storey,2020,11,"$353,000","$361,800"
400 CATHCART ST,1001202800,BL-Bi-Level,2020,8,"$421,000","$439,500"
314 CHALFONT RD,1005921600,TS-Two Storey,2019,8,"$585,000","$633,600"
3 COLLETT COVE,1001222900,OS-One Storey,2019,12,"$451,500","$487,200"
7 COLLETT COVE,1001222700,CO-Cabover,2019,5,"$462,000","$501,700"
221 ELMHURST RD,1001010100,OH-One & 1/2 Storey,2019,8,"$220,000","$238,300"
221 ELMHURST RD,1001010100,OH-One & 1/2 Storey,2020,4,"$265,000","$283,300"
295 ELMHURST RD,1000996000,BL-Bi-Level,2019,5,"$369,000","$400,700"
299 ELMHURST RD,1000992100,OS-One Storey,2020,4,"$590,185","$630,900"
319 ELMHURST RD,1000990500,TS-Two Storey,2020,10,"$275,000","$283,500"
324 ELMHURST RD,1000965500,OS-One Storey,2019,8,"$295,500","$320,000"
354 ELMHURST RD,1001251200,OS-One Storey,2020,4,"$425,000","$454,300"
417 ELMHURST RD,1001203800,TS-Two Storey,2020,10,"$390,000","$402,100"
3231 GRANT AVE,1001219700,BL-Bi-Level,2019,10,"$259,000","$280,000"
3393 GRANT AVE,1001065300,TS-Two Storey,2020,11,"$295,500","$302,900"
3423 GRANT AVE,1001067300,OS-One Storey,2020,8,"$209,900","$219,100"
235 HANEY ST,1001661600,OS-One Storey,2020,3,"$225,000","$242,100"
377 HANEY ST,1001710100,OS-One Storey,2019,10,"$317,500","$343,200"
393 HANEY ST,1005899400,OS-One Storey,2020,7,"$295,000","$309,800"
218 LAXDAL RD,1001402700,TS-Two Storey,2020,9,"$258,000","$267,500"
230 LAXDAL RD,1001401600,OS-One Storey,2020,8,"$380,000","$396,700"
238 LAXDAL RD,1001400200,OS-One Storey,2021,1,"$348,000","$352,200"
340 LAXDAL RD,1005922800,TS-Two Storey,2019,12,"$480,000","$517,900"
380 LAXDAL RD,1001459500,OS-One Storey,2019,3,"$312,500","$339,700"
397 LAXDAL RD,1001564400,OS-One Storey,2020,2,"$310,000","$333,900"
457 LAXDAL RD,1001561100,OS-One Storey,2020,10,"$285,000","$293,800"
251 LYNBROOK DR,1001034500,OS-One Storey,2019,5,"$282,000","$306,300"
289 LYNBROOK DR,1001027000,OS-One Storey,2019,8,"$234,900","$254,400"
316 LYNBROOK DR,1000993900,BL-Bi-Level,2019,6,"$280,000","$303,800"
337 LYNBROOK DR,1001052600,OS-One Storey,2020,9,"$337,000","$349,500"
349 LYNBROOK DR,1001053500,BL-Bi-Level,2020,1,"$420,000","$452,800"
354 LYNBROOK DR,1001049000,OS-One Storey,2019,12,"$265,000","$285,900"
405 LYNBROOK DR,1001265100,FL-4 Level Split,2019,7,"$377,000","$408,700"
410 LYNBROOK DR,1001260300,OS-One Storey,2019,4,"$350,000","$380,100"
238 MCLEAN ST,1000952400,TS-Two Storey,2020,3,"$370,000","$398,100"
248 MCLEAN ST,1000951500,OS-One Storey,2020,7,"$280,000","$294,000"
283 MCLEAN ST,1000970500,BL-Bi-Level,2020,4,"$559,000","$597,600"
3400 PARKIN AVE,1001064100,OS-One Storey,2019,7,"$365,300","$396,000"
3404 PARKIN AVE,1001064300,OS-One Storey,2019,8,"$342,500","$370,900"
3436 PARKIN AVE,1009600440,TS-Two Storey,2020,4,"$629,800","$673,300"
224 PRINCETON BLVD,1001429600,BL-Bi-Level,2020,6,"$452,000","$477,300"
3810 ROBLIN BLVD,1001692000,OS-One Storey,2021,1,"$580,000","$587,000"
7 RONNANDER COVE,1001248800,OS-One Storey,2019,7,"$485,000","$525,700"
96 STOCKDALE ST,1000732500,OS-One Storey,2020,8,"$400,000","$417,600"
120 STOCKDALE ST,1000736000,TS-Two Storey,2020,9,"$375,000","$388,900"
229 VARSITY VIEW DR,1000954000,OS-One Storey,2020,12,"$291,500","$297,000"
15 ADDINGTON BAY,1002366000,OS-One Storey,2020,10,"$438,250","$451,800"
22 ADDINGTON BAY,1002365100,OS-One Storey,2020,8,"$411,300","$429,400"
62 ALENBROOK BAY,1002358200,OS-One Storey,2019,2,"$399,900","$435,100"
62 ALENBROOK BAY,1002358200,OS-One Storey,2020,7,"$435,000","$456,800"
67 ALENBROOK BAY,1002357300,OH-One & 1/2 Storey,2020,8,"$415,000","$433,300"
75 ALENBROOK BAY,1002357900,OS-One Storey,2020,2,"$370,000","$398,500"
75 ALENBROOK BAY,1002357900,OS-One Storey,2020,10,"$390,000","$402,100"
6 BLOSSOM BAY,1002202400,OS-One Storey,2020,9,"$416,500","$431,900"
14 BLOSSOM BAY,1002202800,TS-Two Storey,2020,8,"$630,000","$657,700"
53 BLOSSOM BAY,1002208400,TS-Two Storey,2019,9,"$385,000","$416,600"
565 BUCKINGHAM RD,1002697000,OS-One Storey,2021,1,"$317,000","$320,800"
655 BUCKINGHAM RD,1002744500,TL-3 Level Split,2020,10,"$410,000","$422,700"
664 BUCKINGHAM RD,1002721000,FL-4 Level Split,2020,6,"$369,500","$390,200"
738 BUCKINGHAM RD,1002728500,TS-Two Storey,2019,7,"$515,500","$558,800"
743 BUCKINGHAM RD,1002754300,TS-Two Storey,2021,3,"$530,000","$530,000"
746 BUCKINGHAM RD,1009604210,TS-Two Storey,2020,7,"$695,000","$729,800"
797 BUCKINGHAM RD,1009603180,OS-One Storey,2019,1,"$520,000","$566,300"
518 COVENTRY RD,1002611000,FL-4 Level Split,2020,12,"$400,000","$407,600"
521 COVENTRY RD,1009604090,OS-One Storey,2019,7,"$570,608","$618,500"
523 COVENTRY RD,1009604085,OS-One Storey,2019,10,"$605,000","$654,000"
533 COVENTRY RD,1002617500,OS-One Storey,2020,9,"$950,000","$985,200"
581 COVENTRY RD,1002623500,OS-One Storey,2019,12,"$316,000","$341,000"
596 COVENTRY RD,1002641500,OS-One Storey,2019,10,"$357,700","$386,700"
610 COVENTRY RD,1002642500,OS-One Storey,2019,7,"$355,610","$385,500"
653 COVENTRY RD,1005920000,OS-One Storey,2020,5,"$450,000","$478,400"
807 COVENTRY RD,1002683900,BL-Bi-Level,2019,8,"$387,000","$419,100"
810 COVENTRY RD,1002662100,OS-One Storey,2020,12,"$375,000","$382,100"
857 COVENTRY RD,1002689600,OS-One Storey,2021,3,"$410,000","$410,000"
82 DEERPARK DR,1002240800,OS-One Storey,2019,8,"$475,000","$514,400"
106 DEERPARK DR,1002239600,OS-One Storey,2021,2,"$490,106","$493,000"
118 DEERPARK DR,1002239000,OS-One Storey,2020,4,"$440,000","$470,400"
4082 ELDRIDGE AVE,1002375600,OS-One Storey,2020,9,"$359,900","$373,200"
4279 ELDRIDGE AVE,1002302500,OS-One Storey,2019,7,"$345,000","$374,000"
4304 ELDRIDGE AVE,1002403500,OS-One Storey,2019,6,"$331,250","$359,400"
4311 ELDRIDGE AVE,1002404800,TO-Two/One Storey,2020,9,"$399,900","$414,700"
4822 ELDRIDGE AVE,1003051000,OS-One Storey,2019,8,"$309,900","$335,600"
563 FAIRMONT RD,1002472000,TO-Two/One Storey,2021,1,"$366,000","$370,400"
600 FAIRMONT RD,1002450800,OS-One Storey,2020,2,"$319,900","$344,500"
603 FAIRMONT RD,1002458000,OS-One Storey,2019,10,"$242,900","$262,600"
638 FAIRMONT RD,1002449300,OS-One Storey,2019,7,"$372,000","$403,200"
648 FAIRMONT RD,1002448900,BL-Bi-Level,2019,1,"$445,000","$484,600"
681 FAIRMONT RD,1002444000,OS-One Storey,2020,12,"$428,000","$436,100"
685 FAIRMONT RD,1002443500,OS-One Storey,2020,10,"$325,100","$335,200"
721 FAIRMONT RD,1002440500,TS-Two Storey,2019,10,"$410,000","$443,200"
