Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
288 LEOLA ST,9000184500,BL-Bi-Level,2020,12,"$280,000","$286,200"
124 MELROSE AVE E,9000098000,OS-One Storey,2019,7,"$168,000","$185,600"
126 MELROSE AVE E,9000098500,OH-One & 1/2 Storey,2020,9,"$223,000","$232,800"
209B MELROSE AVE E,9000229400,TS-Two Storey,2020,6,"$220,000","$234,700"
211A MELROSE AVE E,9000229600,TS-Two Storey,2021,2,"$219,900","$221,400"
300 MELROSE AVE E,9000118000,OH-One & 1/2 Storey,2019,7,"$180,000","$198,900"
309 MELROSE AVE E,9000216500,OS-One Storey,2020,8,"$201,500","$212,000"
314 MELROSE AVE E,9000121000,BL-Bi-Level,2021,1,"$299,900","$304,400"
331 MELROSE AVE E,9010475870,TS-Two Storey,2020,10,"$388,000","$402,400"
333 MELROSE AVE E,9010475865,TS-Two Storey,2020,8,"$392,500","$412,900"
400 MELROSE AVE E,9000130000,OS-One Storey,2020,4,"$250,000","$270,500"
403 MELROSE AVE E,9000205500,OH-One & 1/2 Storey,2020,9,"$215,000","$224,500"
433 MELROSE AVE E,9000199000,TS-Two Storey,2019,2,"$334,205","$372,300"
504 MELROSE AVE E,9000154000,OS-One Storey,2020,9,"$202,000","$210,900"
505 MELROSE AVE E,9000183000,TS-Two Storey,2019,7,"$209,900","$231,900"
506 MELROSE AVE E,9000154500,OH-One & 1/2 Storey,2019,11,"$165,000","$181,000"
507 MELROSE AVE E,9000182500,TS-Two Storey,2020,11,"$239,900","$246,900"
553 MELROSE AVE E,9000171000,OS-One Storey,2020,9,"$270,000","$281,900"
110 MELROSE AVE W,9000085500,OH-One & 1/2 Storey,2021,3,"$215,000","$215,000"
111 MELROSE AVE W,9000255500,OH-One & 1/2 Storey,2021,3,"$297,300","$297,300"
128 MELROSE AVE W,9000082000,OS-One Storey,2019,5,"$172,000","$190,700"
217 MELROSE AVE W,9010473610,BL-Bi-Level,2019,10,"$335,000","$368,200"
311 MELROSE AVE W,9000285500,OH-One & 1/2 Storey,2020,12,"$195,000","$199,300"
329 MELROSE AVE W,9000288500,OH-One & 1/2 Storey,2020,11,"$220,000","$226,400"
335 MELROSE AVE W,9000289500,OS-One Storey,2020,11,"$162,000","$166,700"
343 MELROSE AVE W,9000291100,BL-Bi-Level,2019,9,"$260,000","$286,300"
352 MELROSE AVE W,9000042500,O3-One & 3/4 Storey,2020,6,"$200,000","$213,400"
357 MELROSE AVE W,9010475880,TS-Two Storey,2021,2,"$352,426","$354,900"
403 MELROSE AVE W,9000307500,OS-One Storey,2020,9,"$188,000","$196,300"
408 MELROSE AVE W,9000023500,OH-One & 1/2 Storey,2019,4,"$199,900","$222,100"
429 MELROSE AVE W,9000311500,OS-One Storey,2020,11,"$228,000","$234,600"
437 MELROSE AVE W,9000313000,OS-One Storey,2019,5,"$205,000","$227,300"
500 MELROSE AVE W,9005557500,OS-One Storey,2020,10,"$249,900","$259,100"
505 MELROSE AVE W,9005489500,OS-One Storey,2019,12,"$220,000","$241,100"
519 MELROSE AVE W,9005492000,TS-Two Storey,2021,2,"$366,500","$369,100"
525 MELROSE AVE W,9005493500,OS-One Storey,2020,7,"$275,000","$291,200"
526 MELROSE AVE W,9005565500,OS-One Storey,2020,1,"$247,500","$270,800"
532 MELROSE AVE W,9005564500,OS-One Storey,2021,1,"$234,000","$237,500"
535 MELROSE AVE W,9005495000,OH-One & 1/2 Storey,2019,12,"$217,500","$238,400"
543 MELROSE AVE W,9005496500,OS-One Storey,2019,11,"$220,000","$241,300"
620 MELROSE AVE W,9005552000,TS-Two Storey,2019,11,"$232,500","$255,100"
627 MELROSE AVE W,9005509000,OS-One Storey,2019,7,"$251,500","$277,900"
