Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
648 DUDLEY AVE,12020113000,OH-One & 1/2 Storey,2019,6,"$195,000","$211,200"
657 DUDLEY AVE,12020134000,O3-One & 3/4 Storey,2019,10,"$250,000","$270,800"
669 DUDLEY AVE,12020128000,OH-One & 1/2 Storey,2020,6,"$185,000","$196,300"
686 DUDLEY AVE,12020184000,OH-One & 1/2 Storey,2019,8,"$268,000","$290,200"
703 DUDLEY AVE,12020153000,TS-Two Storey,2019,8,"$220,000","$238,300"
703 DUDLEY AVE,12020153000,TS-Two Storey,2020,3,"$299,000","$323,500"
749 DUDLEY AVE,12020237100,OS-One Storey,2020,10,"$168,000","$173,700"
777 DUDLEY AVE,12020233000,OS-One Storey,2020,8,"$267,000","$279,500"
786 DUDLEY AVE,12020277000,OS-One Storey,2019,6,"$225,000","$243,700"
788 DUDLEY AVE,12020278000,OH-One & 1/2 Storey,2020,8,"$336,500","$352,300"
791 DUDLEY AVE,12020258000,OH-One & 1/2 Storey,2019,4,"$350,000","$379,100"
813 DUDLEY AVE,12020252000,OS-One Storey,2020,8,"$324,000","$339,200"
844 DUDLEY AVE,12020306000,OH-One & 1/2 Storey,2019,8,"$210,000","$227,400"
854 DUDLEY AVE,12020308000,OS-One Storey,2019,4,"$252,000","$272,900"
860 DUDLEY AVE,12020310000,OS-One Storey,2020,6,"$290,000","$307,700"
567 FLEET AVE,12021961000,TS-Two Storey,2020,2,"$172,500","$186,600"
656 FLEET AVE,12021084000,TS-Two Storey,2019,12,"$339,900","$368,100"
679 FLEET AVE,12022325000,TS-Two Storey,2019,11,"$270,000","$292,400"
686 FLEET AVE,12021071000,OH-One & 1/2 Storey,2021,3,"$280,000","$280,000"
711 FLEET AVE,12022366000,TS-Two Storey,2020,9,"$331,600","$344,900"
733 FLEET AVE,12022355000,TH-Two & 1/2 Storey,2019,9,"$270,000","$292,400"
762 FLEET AVE,12021048000,TH-Two & 1/2 Storey,2019,8,"$260,000","$281,600"
770 FLEET AVE,12021045000,OS-One Storey,2019,6,"$287,770","$311,700"
818 FLEET AVE,12021028000,TS-Two Storey,2019,9,"$185,000","$200,400"
818 FLEET AVE,12021028000,TS-Two Storey,2020,11,"$288,000","$295,800"
848 FLEET AVE,12021025000,OS-One Storey,2020,8,"$240,000","$251,300"
851 FLEET AVE,12023164000,OS-One Storey,2019,2,"$310,000","$336,000"
612 GARWOOD AVE,12020665000,O3-One & 3/4 Storey,2019,5,"$240,000","$259,900"
615 GARWOOD AVE,12020649000,OS-One Storey,2021,2,"$295,000","$297,100"
634 GARWOOD AVE,12020691000,OH-One & 1/2 Storey,2019,1,"$246,000","$266,700"
649 GARWOOD AVE,12020702000,OH-One & 1/2 Storey,2020,4,"$295,649","$317,800"
653 GARWOOD AVE,12020701000,TH-Two & 1/2 Storey,2020,6,"$340,000","$360,700"
667 GARWOOD AVE,12020699000,O3-One & 3/4 Storey,2020,9,"$315,000","$327,600"
672 GARWOOD AVE,12020683000,OS-One Storey,2020,9,"$240,000","$249,600"
751 GARWOOD AVE,12097804995,TS-Two Storey,2020,7,"$465,000","$490,100"
752 GARWOOD AVE,12020766000,OS-One Storey,2019,9,"$281,000","$304,300"
775 GARWOOD AVE,12020775000,OS-One Storey,2021,3,"$250,000","$250,000"
811 GARWOOD AVE,12020794000,BL-Bi-Level,2019,4,"$339,050","$367,200"
812 GARWOOD AVE,12020809000,OS-One Storey,2020,6,"$337,500","$358,100"
823 GARWOOD AVE,12020788000,OS-One Storey,2019,5,"$254,900","$276,100"
854 GARWOOD AVE,12020831000,OH-One & 1/2 Storey,2020,12,"$315,000","$321,300"
860 GARWOOD AVE,12020829000,OH-One & 1/2 Storey,2020,3,"$310,000","$335,400"
866 GARWOOD AVE,12020826000,OS-One Storey,2020,8,"$296,900","$310,900"
871 GARWOOD AVE,12020845000,OH-One & 1/2 Storey,2020,7,"$316,200","$333,300"
511 JESSIE AVE,12021542000,OS-One Storey,2019,10,"$252,000","$272,900"
591 JESSIE AVE,12021839000,OS-One Storey,2019,9,"$210,000","$227,400"
596 JESSIE AVE,12021905000,TS-Two Storey,2020,10,"$370,000","$382,600"
643 JESSIE AVE,12022093000,TS-Two Storey,2019,10,"$315,000","$341,100"
683 JESSIE AVE,12022241000,OH-One & 1/2 Storey,2020,9,"$310,000","$322,400"
684 JESSIE AVE,12022277000,TS-Two Storey,2020,12,"$310,000","$316,200"
689 JESSIE AVE,12022238000,O3-One & 3/4 Storey,2020,7,"$410,000","$432,100"
698 JESSIE AVE,12022283000,O3-One & 3/4 Storey,2019,3,"$325,000","$352,300"
713 JESSIE AVE,12022231000,TS-Two Storey,2019,11,"$300,000","$324,900"
729 JESSIE AVE,12022468000,TS-Two Storey,2019,11,"$220,000","$238,300"
759 JESSIE AVE,12022457000,TS-Two Storey,2019,12,"$319,500","$346,000"
772 JESSIE AVE,12022696000,OH-One & 1/2 Storey,2020,11,"$322,000","$330,700"
776 JESSIE AVE,12022698000,TS-Two Storey,2020,6,"$515,000","$546,400"
796 JESSIE AVE,12022702000,TS-Two Storey,2019,7,"$329,000","$356,300"
867 JESSIE AVE,12022865000,OS-One Storey,2019,10,"$267,000","$289,200"
889 JESSIE AVE,12023080000,O3-One & 3/4 Storey,2020,10,"$290,000","$299,900"
912 JESSIE AVE,12023116000,TH-Two & 1/2 Storey,2019,3,"$315,000","$341,500"
291 LILAC ST,12022678000,TS-Two Storey,2020,6,"$310,000","$328,900"
293 LILAC ST,12022679000,TS-Two Storey,2020,10,"$267,000","$276,100"
297 LILAC ST,12022681000,TS-Two Storey,2020,2,"$710,000","$768,200"
299 LILAC ST,12022745000,TS-Two Storey,2020,7,"$220,000","$231,900"
310 LILAC ST,12022827000,TS-Two Storey,2019,9,"$255,000","$276,200"
364 LILAC ST,12020818000,TS-Two Storey,2020,10,"$351,500","$363,500"
366 LILAC ST,12020819000,TS-Two Storey,2019,11,"$256,000","$277,200"
368 LILAC ST,12020820400,TS-Two Storey,2020,8,"$320,000","$335,000"
370 LILAC ST,12020820800,TS-Two Storey,2019,11,"$261,370","$283,100"
371 LILAC ST,12020232000,TS-Two Storey,2019,9,"$450,000","$487,400"
675 LORETTE AVE,12020102000,OH-One & 1/2 Storey,2021,3,"$185,000","$185,000"
