Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
307 LAURA ST,13081826300,O3-ONE & 3/4 STOREY,2017,11,"$148,500","$149,700"
297 PATRICK ST,13081830200,OS-ONE STOREY,2016,11,"$75,000","$77,400"
299 PATRICK ST,13081830400,OS-ONE STOREY,2017,2,"$230,620","$236,600"
444 ALEXANDER AVE,13080282500,TS-TWO STOREY,2017,7,"$122,500","$124,500"
520 ALEXANDER AVE,13080328200,OS-ONE STOREY,2016,11,"$83,000","$85,700"
538 ALEXANDER AVE,13080417000,TS-TWO STOREY,2016,10,"$190,000","$196,500"
562 ALEXANDER AVE,13080410000,O3-ONE & 3/4 STOREY,2018,1,"$63,000","$63,300"
564 ALEXANDER AVE,13080409000,O3-ONE & 3/4 STOREY,2017,1,"$90,000","$92,500"
588 ALEXANDER AVE,13080402000,O3-ONE & 3/4 STOREY,2018,3,"$116,000","$116,000"
256 BUSHNELL ST,13082128000,TS-TWO STOREY,2017,2,"$180,000","$184,700"
355 ELGIN AVE,13071895000,O3-ONE & 3/4 STOREY,2017,9,"$155,000","$156,900"
358 ELGIN AVE,13070126000,O3-ONE & 3/4 STOREY,2017,10,"$114,000","$115,100"
375 ELGIN AVE,13071870000,TS-TWO STOREY,2016,4,"$200,000","$209,400"
382 ELGIN AVE,13070134000,O3-ONE & 3/4 STOREY,2016,8,"$200,000","$207,600"
399 ELGIN AVE,13071860000,TH-TWO & 1/2 STOREY,2016,9,"$272,000","$281,800"
465 ELGIN AVE,13071934000,OH-ONE & 1/2 STOREY,2016,10,"$109,000","$112,700"
535 ELGIN AVE,13072082000,O3-ONE & 3/4 STOREY,2016,3,"$150,000","$157,400"
563 ELGIN AVE,13072071000,O3-ONE & 3/4 STOREY,2016,9,"$127,500","$132,100"
572 ELGIN AVE,13070255000,O3-ONE & 3/4 STOREY,2016,2,"$215,000","$226,000"
593 ELGIN AVE,13072061000,TS-TWO STOREY,2016,11,"$240,000","$247,700"
598 ELGIN AVE,13070263000,O3-ONE & 3/4 STOREY,2017,11,"$128,500","$129,500"
605 ELGIN AVE,13072058000,OS-ONE STOREY,2018,2,"$162,000","$162,300"
609 ELGIN AVE,13072057000,TS-TWO STOREY,2016,10,"$170,000","$175,800"
611 ELGIN AVE,13072056000,OH-ONE & 1/2 STOREY,2016,4,"$100,000","$104,700"
611 ELGIN AVE,13072056000,OH-ONE & 1/2 STOREY,2017,3,"$130,000","$133,100"
613 ELGIN AVE,13072055000,OS-ONE STOREY,2016,5,"$165,000","$172,400"
258 ELLEN ST,13081813000,O3-ONE & 3/4 STOREY,2016,10,"$115,000","$118,900"
448 LOGAN AVE,13081893000,O3-ONE & 3/4 STOREY,2016,8,"$110,000","$114,200"
477 PACIFIC AVE,13080294100,OS-ONE STOREY,2016,2,"$142,500","$149,800"
529 PACIFIC AVE,13080343000,O3-ONE & 3/4 STOREY,2017,9,"$120,000","$121,400"
374 ROSS AVE,13071847000,TS-TWO STOREY,2016,4,"$260,000","$272,200"
542 ROSS AVE,13071984000,TS-TWO STOREY,2016,3,"$170,000","$178,300"
554 ROSS AVE,13071988000,O3-ONE & 3/4 STOREY,2016,7,"$118,000","$122,800"
385 WILLIAM AVE,13070158000,TH-TWO & 1/2 STOREY,2016,1,"$203,000","$213,800"
461 WILLIAM AVE,13070209000,TS-TWO STOREY,2016,6,"$125,000","$130,400"
599 WILLIAM AVE,13070304000,TH-TWO & 1/2 STOREY,2016,11,"$150,000","$154,800"
74 BALMORAL ST,12091414000,TH-TWO & 1/2 STOREY,2016,6,"$218,500","$227,900"
80 BALMORAL ST,12091415000,TH-TWO & 1/2 STOREY,2016,6,"$420,000","$438,100"
