Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
641 DUDLEY AVE,12020139000,OH-ONE & 1/2 STOREY,2018,1,"$225,500","$226,600"
643 DUDLEY AVE,12020138000,TS-TWO STOREY,2016,10,"$295,000","$308,600"
644 DUDLEY AVE,12020112000,OH-ONE & 1/2 STOREY,2018,1,"$230,900","$232,100"
648 DUDLEY AVE,12020113000,OH-ONE & 1/2 STOREY,2016,11,"$182,500","$190,300"
661 DUDLEY AVE,12020132000,OH-ONE & 1/2 STOREY,2017,7,"$225,000","$229,700"
663 DUDLEY AVE,12020131000,OH-ONE & 1/2 STOREY,2016,4,"$190,000","$201,800"
672 DUDLEY AVE,12020124000,OH-ONE & 1/2 STOREY,2017,6,"$225,000","$230,400"
686 DUDLEY AVE,12020184000,OH-ONE & 1/2 STOREY,2016,12,"$261,000","$271,400"
734 DUDLEY AVE,12020218000,OH-ONE & 1/2 STOREY,2017,7,"$320,000","$326,700"
743 DUDLEY AVE,12020239000,O3-ONE & 3/4 STOREY,2017,8,"$262,400","$267,400"
777 DUDLEY AVE,12020233000,OS-ONE STOREY,2016,3,"$182,000","$193,800"
820 DUDLEY AVE,12020286000,OS-ONE STOREY,2017,6,"$212,000","$217,100"
842 DUDLEY AVE,12020305000,OS-ONE STOREY,2017,8,"$278,000","$283,300"
849 DUDLEY AVE,12020326000,O3-ONE & 3/4 STOREY,2016,8,"$185,000","$194,400"
873 DUDLEY AVE,12020320000,OS-ONE STOREY,2016,8,"$230,000","$241,700"
579 FLEET AVE,12021955000,TS-TWO STOREY,2016,2,"$230,000","$245,600"
600 FLEET AVE,12021095000,OS-ONE STOREY,2017,7,"$239,000","$244,000"
632 FLEET AVE,12021086000,OS-ONE STOREY,2017,8,"$367,500","$374,500"
660 FLEET AVE,12021082000,O3-ONE & 3/4 STOREY,2018,2,"$215,000","$215,600"
668 FLEET AVE,12021078000,O3-ONE & 3/4 STOREY,2017,7,"$222,000","$226,700"
707 FLEET AVE,12022368000,TS-TWO STOREY,2017,6,"$230,000","$235,500"
721 FLEET AVE,12022361000,TH-TWO & 1/2 STOREY,2016,7,"$335,000","$353,100"
745 FLEET AVE,12022762000,TS-TWO STOREY,2017,2,"$263,000","$272,200"
753 FLEET AVE,12022758000,TS-TWO STOREY,2016,8,"$258,000","$271,200"
769 FLEET AVE,12022751000,TS-TWO STOREY,2017,3,"$210,000","$216,700"
803 FLEET AVE,12022789000,TS-TWO STOREY,2016,8,"$274,900","$288,900"
854 FLEET AVE,12021023000,OH-ONE & 1/2 STOREY,2016,3,"$217,000","$231,100"
858 FLEET AVE,12021021000,TS-TWO STOREY,2016,9,"$183,500","$192,300"
858 FLEET AVE,12021021000,TS-TWO STOREY,2017,2,"$313,000","$324,000"
861 FLEET AVE,12023159000,TS-TWO STOREY,2017,9,"$286,000","$290,600"
863 FLEET AVE,12023158000,TS-TWO STOREY,2017,4,"$268,000","$275,800"
864 FLEET AVE,12021018000,TS-TWO STOREY,2017,6,"$310,000","$317,400"
866 FLEET AVE,12021017000,OS-ONE STOREY,2017,6,"$235,000","$240,600"
674 GARWOOD AVE,12020682000,OS-ONE STOREY,2016,9,"$245,000","$256,800"
748 GARWOOD AVE,12097678900,TS-TWO STOREY,2016,8,"$230,000","$241,700"
751 GARWOOD AVE,12097804995,TS-TWO STOREY,2017,4,"$431,766","$444,300"
753 GARWOOD AVE,12097804990,TS-TWO STOREY,2017,4,"$392,250","$403,600"
754 GARWOOD AVE,12020765000,OS-ONE STOREY,2017,8,"$157,400","$160,400"
775 GARWOOD AVE,12020775000,OS-ONE STOREY,2017,6,"$208,500","$213,500"
793 GARWOOD AVE,12020800000,OS-ONE STOREY,2017,4,"$165,000","$169,800"
808 GARWOOD AVE,12020811000,TS-TWO STOREY,2016,6,"$362,500","$383,200"
814 GARWOOD AVE,12020808000,OS-ONE STOREY,2017,7,"$266,000","$271,600"
840 GARWOOD AVE,12020838000,OS-ONE STOREY,2017,10,"$277,500","$281,100"
842 GARWOOD AVE,12020836100,OS-ONE STOREY,2016,11,"$256,000","$267,000"
853 GARWOOD AVE,12020854000,OS-ONE STOREY,2016,11,"$165,000","$172,100"
