Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
25 ATLANTIC AVE,14061033100,OS-ONE STOREY,2016,2,"$225,000","$233,300"
35 ATLANTIC AVE,14061038000,OS-ONE STOREY,2017,7,"$200,000","$202,400"
75 ATLANTIC AVE,14061188000,OS-ONE STOREY,2017,5,"$203,000","$206,000"
109 ATLANTIC AVE,14061200000,OS-ONE STOREY,2016,8,"$110,000","$113,100"
109 ATLANTIC AVE,14061200000,OS-ONE STOREY,2017,9,"$157,000","$158,400"
111 ATLANTIC AVE,14061201000,OH-ONE & 1/2 STOREY,2016,3,"$179,000","$185,300"
121 ATLANTIC AVE,14061206000,OS-ONE STOREY,2016,10,"$188,000","$192,700"
153 ATLANTIC AVE,14061215000,O3-ONE & 3/4 STOREY,2016,12,"$140,000","$143,100"
18 BANNERMAN AVE,14060054000,O3-ONE & 3/4 STOREY,2016,7,"$223,500","$230,000"
35 BANNERMAN AVE,14060021000,TH-TWO & 1/2 STOREY,2017,7,"$165,000","$167,000"
44 BANNERMAN AVE,14060044000,TH-TWO & 1/2 STOREY,2017,11,"$265,000","$266,600"
54 BANNERMAN AVE,14100126880,BL-BI-LEVEL,2017,6,"$288,531.90","$292,300"
56 BANNERMAN AVE,14100126875,TS-TWO STOREY,2017,8,"$235,000","$237,400"
65 BANNERMAN AVE,14060108000,TS-TWO STOREY,2017,12,"$365,000","$366,500"
94 BANNERMAN AVE,14060073000,OS-ONE STOREY,2017,12,"$222,000","$222,900"
126 BANNERMAN AVE,14060057000,O3-ONE & 3/4 STOREY,2016,5,"$280,000","$289,000"
128 BANNERMAN AVE,14060056000,O3-ONE & 3/4 STOREY,2016,8,"$243,000","$249,800"
136 BANNERMAN AVE,14060158000,TS-TWO STOREY,2017,2,"$210,000","$214,000"
147 BANNERMAN AVE,14060129000,TH-TWO & 1/2 STOREY,2017,11,"$275,000","$276,700"
162 BANNERMAN AVE,14060148000,OS-ONE STOREY,2016,8,"$166,500","$171,200"
65 CATHEDRAL AVE,14052596000,TH-TWO & 1/2 STOREY,2017,10,"$251,500","$253,300"
101 CATHEDRAL AVE,14052667000,TH-TWO & 1/2 STOREY,2016,2,"$160,000","$165,900"
30 INKSTER BLVD,14070366000,TS-TWO STOREY,2017,11,"$202,000","$203,200"
35 INKSTER BLVD,14070328000,OH-ONE & 1/2 STOREY,2016,7,"$288,000","$296,400"
62 INKSTER BLVD,14070350000,O3-ONE & 3/4 STOREY,2016,9,"$225,000","$230,900"
91 INKSTER BLVD,14070188000,OH-ONE & 1/2 STOREY,2017,7,"$183,000","$185,200"
97 INKSTER BLVD,14070191000,BL-BI-LEVEL,2017,2,"$242,500","$247,100"
103 INKSTER BLVD,14070194000,OS-ONE STOREY,2017,5,"$125,000","$126,900"
153 INKSTER BLVD,14070076000,O3-ONE & 3/4 STOREY,2017,12,"$145,000","$145,600"
169 INKSTER BLVD,14070084000,O3-ONE & 3/4 STOREY,2017,9,"$215,000","$216,900"
173 INKSTER BLVD,14070086000,TH-TWO & 1/2 STOREY,2016,8,"$177,000","$182,000"
173 INKSTER BLVD,14070086000,TH-TWO & 1/2 STOREY,2017,7,"$177,000","$179,100"
18A LANSDOWNE AVE,14100122740,TS-TWO STOREY,2017,11,"$347,900","$350,000"
28 LANSDOWNE AVE,14070303000,OH-ONE & 1/2 STOREY,2016,6,"$148,000","$152,600"
28 LANSDOWNE AVE,14070303000,OH-ONE & 1/2 STOREY,2017,5,"$191,000","$193,900"
35 LANSDOWNE AVE,14070263000,O3-ONE & 3/4 STOREY,2016,5,"$149,900","$154,700"
36 LANSDOWNE AVE,14070299000,O3-ONE & 3/4 STOREY,2016,11,"$208,500","$213,300"
41 LANSDOWNE AVE,14070259000,TS-TWO STOREY,2017,12,"$200,000","$200,800"
44 LANSDOWNE AVE,14070295000,OS-ONE STOREY,2016,5,"$148,000","$152,700"
61 LANSDOWNE AVE,14070247000,TS-TWO STOREY,2016,5,"$248,400","$256,300"
62 LANSDOWNE AVE,14070285000,O3-ONE & 3/4 STOREY,2016,6,"$210,000","$216,500"
69 LANSDOWNE AVE,14070243000,OS-ONE STOREY,2017,1,"$256,783","$261,900"
73 LANSDOWNE AVE,14070241000,OH-ONE & 1/2 STOREY,2017,5,"$170,000","$172,600"
74 LANSDOWNE AVE,14070176000,OS-ONE STOREY,2017,4,"$217,000","$220,500"
86 LANSDOWNE AVE,14070170000,BL-BI-LEVEL,2017,6,"$262,000","$265,400"
94 LANSDOWNE AVE,14070166000,OH-ONE & 1/2 STOREY,2016,5,"$189,000","$195,000"
102 LANSDOWNE AVE,14070161000,OH-ONE & 1/2 STOREY,2017,6,"$269,900","$273,400"
106 LANSDOWNE AVE,14070159000,O3-ONE & 3/4 STOREY,2017,11,"$144,000","$144,900"
109 LANSDOWNE AVE,14070223000,OS-ONE STOREY,2016,12,"$198,500","$202,900"
109 LANSDOWNE AVE,14070223000,OS-ONE STOREY,2017,7,"$267,500","$270,700"
127 LANSDOWNE AVE,14070214000,O3-ONE & 3/4 STOREY,2016,8,"$206,000","$211,800"
138 LANSDOWNE AVE,14070066000,BL-BI-LEVEL,2017,5,"$276,000","$280,100"
139 LANSDOWNE AVE,14070030000,OS-ONE STOREY,2016,8,"$185,000","$190,200"
144 LANSDOWNE AVE,14070063000,OH-ONE & 1/2 STOREY,2017,9,"$220,000","$222,000"
146 LANSDOWNE AVE,14070062000,OH-ONE & 1/2 STOREY,2018,1,"$145,000","$145,400"
163 LANSDOWNE AVE,14070018000,O3-ONE & 3/4 STOREY,2016,7,"$252,700","$260,000"
1 LUXTON AVE,14061149000,TS-TWO STOREY,2018,1,"$215,000","$215,600"
17 LUXTON AVE,14061156000,TS-TWO STOREY,2016,9,"$269,900","$276,900"
35 LUXTON AVE,14061160000,OS-ONE STOREY,2016,9,"$177,000","$181,600"
43 LUXTON AVE,14061164000,TS-TWO STOREY,2016,12,"$227,000","$232,000"
47 LUXTON AVE,14061166000,OH-ONE & 1/2 STOREY,2016,12,"$240,000","$245,300"
53 LUXTON AVE,14061169000,TS-TWO STOREY,2017,12,"$254,000","$255,000"
